source,title,content,url,publishTime,city
Caixin Global,Cluster Cases at Beijing Hospitals Sparked Fear of Virus Spread,Cluster Cases at Beijing Hospitals Sparked Fear of Virus Spread - Large-scale quarantines under way involving patients and health care...,https://www.caixinglobal.com/2020-02-21/cluster-cases-at-beijing-hospitals-sparked-fear-of-virus-spread-101518348.html,2 days ago,Beijing
CNN International,Beijing orders mandatory coronavirus quarantine as US moves to evacuate passengers from cruise ship,"Hong Kong (CNN) Beijing has ordered a mandatory 14-day quarantine for travelers returning to the city, with novel coronavirus cases...",https://www.cnn.com/2020/02/15/asia/coronavirus-covid-19-update-intl-hnk/index.html,1 week ago,Beijing
TIME,Chinese President Xi Says He Was Leading COVID-19 Since Jan. 7,China released a speech showing President Xi Jinping was leading the national effort to contain the coronavirus almost two weeks before he...,https://time.com/5785115/xi-jingping-lead-covid-19/,6 days ago,Beijing
TIME,'Still Grim and Complex.' President Xi Jinping Calls for More Efforts ...,President Xi Jinping Calls for More Efforts to Curb COVID-19 in China ... (BEIJING) — Warning that China's virus epidemic is “still grim and...,https://time.com/5789397/xi-jinping-china-coronavirus-economy/,1 day ago,Beijing
Xinhua,Xi Focus: Xi stresses unremitting efforts in COVID-19 control ...,"BEIJING, Feb. 23 (Xinhua) -- Chinese President Xi Jinping on Sunday stressed unremitting efforts on the prevention and control of the novel...",http://www.xinhuanet.com/english/2020-02/23/c_138811286.htm,3 hours ago,Beijing
The Star Online,Xi stresses all out efforts in Covid-19 control and coordination on ...,BEIJING: Chinese President Xi Jinping stressed on Sunday (Feb 23) unremitting efforts on the prevention and control of the (Covid-19)...,https://www.thestar.com.my/news/regional/2020/02/23/xi-stresses-all-out-efforts-in-covid-19-control-and-coordination-on-economic,3 hours ago,Beijing
MarketWatch,Author argues the coronavirus behind the COVID-19 outbreak may ...,"At an emergency meeting in Beijing held last Friday, Chinese leader Xi ... even though the first documented cases of COVID-19 (the illness...",https://www.marketwatch.com/story/dont-buy-chinas-story-the-coronavirus-may-have-leaked-from-a-lab-2020-02-22,21 hours ago,Beijing
CNA,Chinese restaurants starved for cash as COVID-19 hits industry,"BEIJING: It is lunch time in Beijing, but the only diner in Cindy's Cafe is an employee having a staff meal - it has been closed for more than three...",https://www.channelnewsasia.com/news/business/covid-19-coronavirus-china-restaurants-business-hit-employment-12462094,7 hours ago,Beijing
CNBC,South Korea confirms first death from the coronavirus; Hubei extends work suspension,"... ended — but for up-to-the-minute coverage on the coronavirus, visit the live blog from CNBC's U.S. team. All times below are in Beijing time.",https://www.cnbc.com/2020/02/20/coronavirus-latest-updates-hubei-china-deaths.html,3 days ago,Beijing
NBCNews.com,Say it with sanitizer: Beijing florist takes on COVID-19 for Valentine's Day,"It's the eve of Valentine's Day and flower seller Cai Xiaoman is enclosing a special gift — a small bottle of hand sanitizer to ward off COVID-19,...",https://www.nbcnews.com/business/business-news/say-it-sanitizer-beijing-florist-takes-covid-19-valentine-s-n1136631,1 week ago,Beijing
